x,y,group,label
1,1.5,1,та
1,1.5,2,та
1,3.5,3,уацIа
1,3.5,4,уацIа
1,5.5,5,цIа
1,5.5,6,цIа
1,7.5,7,шIа
1,7.5,8,шIа
2,2.5,1,ба-ра
2,6.5,2,гIва-ра
2,2.5,3,ба-ра
2,6.5,4,гIва-ра
2,2.5,5,ба-ра
2,6.5,6,гIва-ра
2,2.5,7,ба-ра
2,6.5,8,гIва-ра
3,1,1,"пересохнуть, высохнуть где-л."
3,5,2,засохнуть в чем-л.
3,2,3,иссохнуть изнутри
3,6,4,"иссохнуть под кем, чем-л."
3,3,5,иссохнуть внутри чего-л.
3,7,6,засохнуть под чем-л.
3,4,7,забыть (пересохнуть во рту кого-л.)
3,8,8,"засохнуть на чем- л., на склоне (горы)"
